 cycle              dipMom          dipAccel          totalnorm
 0.200195E-01 -0.126854E-03  0.569437E-04  0.100000E+01
 0.202637E-01 -0.132933E-03  0.593644E-04  0.100000E+01
 0.205078E-01 -0.139220E-03  0.618545E-04  0.100000E+01
 0.207520E-01 -0.145721E-03  0.644149E-04  0.100000E+01
 0.209961E-01 -0.152439E-03  0.670467E-04  0.100000E+01
 0.212402E-01 -0.159379E-03  0.697509E-04  0.100000E+01
 0.214844E-01 -0.166545E-03  0.725284E-04  0.100000E+01
 0.217285E-01 -0.173941E-03  0.753801E-04  0.100000E+01
 0.219727E-01 -0.181573E-03  0.783072E-04  0.100000E+01
 0.222168E-01 -0.189444E-03  0.813106E-04  0.100000E+01
 0.224609E-01 -0.197558E-03  0.843911E-04  0.100000E+01
 0.227051E-01 -0.205921E-03  0.875498E-04  0.100000E+01
 0.229492E-01 -0.214536E-03  0.907877E-04  0.100000E+01
 0.231934E-01 -0.223409E-03  0.941056E-04  0.100000E+01
 0.234375E-01 -0.232542E-03  0.975046E-04  0.100000E+01
 0.236816E-01 -0.241942E-03  0.100986E-03  0.100000E+01
 0.239258E-01 -0.251613E-03  0.104549E-03  0.100000E+01
 0.241699E-01 -0.261559E-03  0.108197E-03  0.100000E+01
 0.244141E-01 -0.271784E-03  0.111930E-03  0.100000E+01
 0.246582E-01 -0.282293E-03  0.115748E-03  0.100000E+01
 0.249023E-01 -0.293091E-03  0.119653E-03  0.100000E+01
 0.251465E-01 -0.304182E-03  0.123645E-03  0.100000E+01
 0.253906E-01 -0.315571E-03  0.127726E-03  0.100000E+01
 0.256348E-01 -0.327263E-03  0.131896E-03  0.100000E+01
 0.258789E-01 -0.339261E-03  0.136156E-03  0.100000E+01
 0.261230E-01 -0.351571E-03  0.140508E-03  0.100000E+01
 0.263672E-01 -0.364196E-03  0.144952E-03  0.100000E+01
 0.266113E-01 -0.377143E-03  0.149488E-03  0.100000E+01
 0.268555E-01 -0.390415E-03  0.154119E-03  0.100000E+01
 0.270996E-01 -0.404016E-03  0.158844E-03  0.100000E+01
 0.273438E-01 -0.417953E-03  0.163664E-03  0.100000E+01
 0.275879E-01 -0.432228E-03  0.168581E-03  0.100000E+01
 0.278320E-01 -0.446847E-03  0.173595E-03  0.100000E+01
 0.280762E-01 -0.461814E-03  0.178707E-03  0.100000E+01
 0.283203E-01 -0.477134E-03  0.183919E-03  0.100000E+01
 0.285645E-01 -0.492812E-03  0.189230E-03  0.100000E+01
 0.288086E-01 -0.508852E-03  0.194641E-03  0.100000E+01
 0.290527E-01 -0.525258E-03  0.200154E-03  0.100000E+01
 0.292969E-01 -0.542036E-03  0.205770E-03  0.100000E+01
 0.295410E-01 -0.559190E-03  0.211488E-03  0.100000E+01
 0.297852E-01 -0.576724E-03  0.217310E-03  0.100000E+01
 0.300293E-01 -0.594643E-03  0.223237E-03  0.100000E+01
 0.302734E-01 -0.612952E-03  0.229269E-03  0.100000E+01
 0.305176E-01 -0.631655E-03  0.235408E-03  0.100000E+01
 0.307617E-01 -0.650757E-03  0.241654E-03  0.100000E+01
 0.310059E-01 -0.670262E-03  0.248007E-03  0.100000E+01
 0.312500E-01 -0.690176E-03  0.254469E-03  0.100000E+01
 0.314941E-01 -0.710501E-03  0.261040E-03  0.100000E+01
